CID,B1Card#,Description,Value
117,032336,REQ CLEAN STATEMENTS,0
117,503140,STATEMENT AE NAME PRINT,1
117,503150,STATEMENT BROADCAST FACILITY,0
117,503160,STATEMENTS-TYPE 1,C
117,503161,STATEMENTS-TYPE 2,M
117,503162,STATEMENTS-TYPE 3,I
117,503163,STATEMENTS-TYPE 4,O
117,503164,STATEMENTS-TYPE 5,S
117,503165,STATEMENTS-TYPE 6,O
117,503166,STATEMENTS-TYPE 7,V
117,503167,STATEMENTS-TYPE 8,O
117,503168,STATEMENTS-TYPE 9,C
117,503169,STATEMENTS-TYPE 0,O
117,503170,ST DEBIT INTEREST DISPLAY,1
117,503180,ST CREDIT INTEREST DISPLAY,1
117,503190,ST TOTALS PRINT,2
117,503200,STATEMENTS- IP FORM CHANGE,1
117,503210,ST - OUT OF TOWN,0
117,503220,ST - INACTIVE MONTHS,1.11111E+11
117,503221,ST - UNSETTLED TRADES/OPEN ORD,3
117,503223,ST CUSIP DISPLAY,0
117,503224,ST- HOUSE PRICES USED,1
117,503225,ST- SUPPRESS YLD & INCOME,0
117,503226,ST SPECIALIST STATEMENT,0
117,503227,ST- PRINT SYMBOL,0
117,503228,ST- N/A TARGET WORD POS.,0
117,503229,ST- POSITION PRICE SPLIT,0
117,503230,ST- YEAR-END MESSAGE SUPPRESS,0
117,503231,ST FGN SECUR EST ANNL RATE,1
117,503232,ST SHORT GNMA DESCRIPTION,0
117,503234,ST MUTUAL FUNDS PRICING,0
117,503235,ST PRINCIPAL PARTY TAPES,0
117,503236,ST STATEMENTS BY CATEGORY,1
117,503237,ST POSITION LEGEND UNDERLINING,0
117,503238,ST SMA BUYING POWER ON B228,0
117,503240,ST FUND FILE IDENTIFIER,0
117,503241,ST DETAIL LINES PER PAGE,25
117,503242,ST SPEC. STMT LINES PER PAGE,38
117,503245,ST IGNORE OLD PRICE DAYS,00
117,503246,ST SWEEP BUCKETS - ACCOUNT,1
117,503247,ST SWEEP BUCKETS BY SECURITY,1
117,503248,ST HEADING HIGHLIGHT,0
117,503249,ST EXPANDED HISTORY TOTALS,0
117,503250,ST PENDING W/I CANCELLATIONS,1
117,503251,ST SPECIALIST STMT FOR CLIENT,0
117,503252,ST PENDING TRADES HEADING,0
117,503253,ST SPECIALIST STMT COMM/GC,0
117,503254,ST VALUATION WITH CENTS,1
117,503255,ST PENDING STOCK DIVIDENDS,0
117,503256,ST UNIT EAD RATE DISPLAY,1
117,503257,ST P/S PROCESS DATE ON STMT,0
117,503259,ST ALT MIN TAX TRAILER,0
117,503260,ST PRE-REFUNDED DESCRIPTION,0
117,503261,ST CATEGORY - 01 HEADING,
117,503262,ST CATEGORY - 02 HEADING,
117,503263,ST CATEGORY - 03 HEADING,
117,503264,ST CATEGORY - 04 HEADING,
117,503265,ST CATEGORY - 05 HEADING,
117,503266,ST CATEGORY - 06 HEADING,
117,503267,ST CATEGORY - 07 HEADING,
117,503268,ST CATEGORY - 08 HEADING,
117,503269,ST CATEGORY - 09 HEADING,
117,503270,ST CATEGORY - 10 HEADING,
117,503271,ST CATEGORY - 11 HEADING,
117,503272,ST CATEGORY - 12 HEADING,
117,503306,ST SPECIAL MESSAGE #1,
117,503307,ST SPECIAL MESSAGE #2,
117,503308,ST CATEGORY HEADINGS,-
117,503309,ST NEW CLIENT FIRST MONTH-END,1302
117,503310,ST OLTS GNMA PRINCIPAL MV,0
117,503313,ST EXPANDED TOTALS OPTIONS,0
117,503314,ST REDEMPTION INTEREST (T-BIL),1
117,503315,ST ACCOUNT MESSAGE,0
117,503316,ST EXTRA-2  N/A SEGMENT,1
117,503317,ST AMORTIZATION DESCRIPTION,0
117,503318,ST PAGE-2 NAME & ADDRESS,2
117,503319,ST ABS STATEMENT FORMAT,0
117,503320,ST ACTIVITY CATEGRY FROM CATCG,0
117,503321,ST SUPPRESS ZERO QTY/AMT,0
117,503323,ST (ABS) EXTERNAL MESSAGE FILE,0
117,503324,ST TRADE DATE STATEMENT,0-0
117,503325,ST PRINT IRA POSITIONS OPTION,0
117,503326,ST SUPPRESS CLOSED IRA ACT PRT,0
117,503327,ST HISTORY DETAIL REPORT,0
117,503328,ST MMF ACCUMULATION,0
117,503329,ST EXTRA DETAIL SEGMENT (B228),1
117,503330,ST SPECIAL MESSAGE #3,
117,503331,ST HISTORY ONLY B228,0
117,503332,ST RR FILE,1
117,503333,ST PRICE SUPPRESSION,0
117,503334,ST RATING DISPLAY,1
117,503335,ST GNMA/TBA PROCESS,0
117,503336,ST PENDING TRADE PRICE FORMAT,0
117,503337,ST POISON PILL DESCRIPTIONS,1
117,503338,ST XTRA POSITION SEG 6 ON B228,0
117,503339,ST N/A RELATED ACCTS ON B228,1
117,503340,ST (ABS) IRA FILE REQUEST,0
117,503342,ST SPECIAL BLOTTER SUPPRESSION,
117,503654,ST SHORT CATEGORY,00-00-00-00
117,503800,ST SELECTION TABLE2 START DATE,99990101
117,503811,ST PS WI CATEGORY,1-Jan
117,503812,ST CREDIT INTEREST CATEGORY,05
117,503813,ST DEBIT INTEREST CATEGORY,05
117,503814,ST TAXABLE CASH DIV CATEGORY,05
117,503815,ST NON-TAXABLE CASH DIV CATGR,05
117,503816,ST TAXABLE BOND INT CATEGORY,05
117,503817,ST NON-TAXABLE BOND INT CATGR,05
117,503818,ST STOCK DIV (BK) CATEGORY,00
117,503819,ST SPECIAL BATCH CATEGORY-BKP,DV-05-0-0-1
117,503819,ST SPECIAL BATCH CATEGORY-BKP,OT-15-0-0-0
117,503819,ST SPECIAL BATCH CATEGORY-BKP,RE-05-0-0-1
117,503819,ST SPECIAL BATCH CATEGORY-BKP,RG-05-0-0-1
117,503819,ST SPECIAL BATCH CATEGORY-BKP,WG-05-0-0-1
117,503822,ST SECURITY ACTIVITY CATEGORY,01
117,503823,ST MONEY ACTIVITY CATG ALL/CR,10
117,503824,ST OTHER CATEGORY,20
117,503825,ST FUND CATEGORY,2018195-15-0
117,503825,ST FUND CATEGORY,2020468-15-0
117,503826,ST FUND PS ACTIVITY,1
117,503827,ST FUND DIV/INT ACTIVITY,0
117,503828,ST FUND SPECIAL BATC/ENTR ACTV,0
117,503829,ST FUND OTHER ACTIVITY,0
117,503830,ST DEFAULT SORT SEQUENCE,DCABT
117,503831,ST EXTERNAL ASSET CATEGORY,00
117,503843,ST STOCK DIV (PS) CATEGORY,20
117,503844,ST MONEY MARKET FUND CATEGORY,15
117,503845,ST MUTUAL FUND CATEGORY,00
117,503846,ST MONEY ACTIVITY CATG - DEBIT,10
117,503848,ST SPECIAL BATCH CATEGORY-DIV,
117,503849,ST SPECIAL BLOTTER CATEGORY,
117,503850,ST SUBSTITUTE PAY CATEGORY,00- -
117,503851,ST SPECIAL BATCH/ENTRY CATEGOR,
117,503852,ST CATEGORY SORT SEQUENCE,01-DABST
117,503853,ST SPECIAL ENTRIES CATEGORY,-  - - - -
117,503856,ST TAX ENTRY CATEGORY,00
117,504020,ST2 ACCOUNT RANGE INSTRUCTIONS,99999999-1-7-1- - -
117,504021,ST2 CUSTOMER EQUITY PRINT,-
117,504025,ST2 SPECIALIST STATEMENT RANGE,-
117,504100,ST2 POSITION BY CATEGORY,1
117,504101,ST2 POS CATEGORY EQUITY,1-0-1-0-0-0
117,504102,ST2 POS CATEGORY MMF,1-X-1
117,504103,ST2 POS CATEGORY MUTUAL FUNDS,1-0-1-0-0
117,504104,ST2 POS CATEGORY FGN EQUITY,0-0-0-0-0-0
117,504105,ST2 POS CATEGORY PREF EQUITY,1-0-1-0-0-0
117,504110,ST2 POS CATEGORY FIXED INCOME,1-0-0-0
117,504111,ST2 POS CATEGORY MUNI BONDS,1-0-1-0
117,504112,ST2 POS CATEGORY CORP BONDS,1-0-1-0-0-0
117,504113,ST2 POS CATEGORY GVMT BONDS,1-0-1-0
117,504114,ST2 POS CATEGORY GVMT AGENCY,1-0-1-0-0-0
117,504115,ST2 POS CAT MUNI/NUVEEN UNITS,1-0-1-0
117,504116,ST2 POS CAT OTHER UNITS,1-0-1-0
117,504117,ST2 POS CATEGORY CONV BONDS,1-0-1-0
117,504118,ST2 POS CATEGORY FGN FIXED INC,1-0-1-0-0-0
117,504119,ST2 POS CATEGORY FIXED INC OTH,1-0-1-0
117,504120,ST2 POS CATEGORY OPTIONS,1-0-1-0-0-0
117,504121,ST2 POS CATEGORY CDO/REMIC,1-0-1-0
117,504122,ST2 POS CATEGORY UNPRICED,- -
117,504124,ST2 ST2-POS-CAT-STRUCT-NOTES,0-0-0-0-0-0
117,504125,ST2 ST2-POS-CAT-ST-INST,000-0-0-0-0-0-0
117,504127,ST2 POS CATEGORY FOR CLASS -CC,- - - - - -
117,504128,ST2 POS CATEG CLASS CXXXXXC,- - - -
117,504129,ST2 POS CATEG CLASS CCXXXXC,- - - -
117,504130,ST2 POS CATEGORY OTHER,0-1-0-0-
117,504131,ST2 POS CATEG SECURITY RANGE,-       - - - - -
117,504138,ST2 POS CTG ASSET CLASS,- - - - -
117,504139,ST2 POSITIONS SEQUENCE,50
117,504140,ST2 POS SEQUENCE OPEN ORDERS,50-55
117,504141,ST2 POS SEQUENCE PENDING TRDS,50-50
117,504142,ST2 POS SEQUENCE WHEN ISSUES,50-40
117,504143,ST2 POS SEQUENCE PEND DSTRBTN,50-60
117,504144,ST2 POS SEQUENCE GNMA,50-70
117,504145,ST2 POS SEQUENCE IRA,50-45
117,504147,ST2 OPTION TT-SS-147,-
117,504148,ST2 OPTION TT-SS-148,-
117,504149,ST2 OPTION TT-SS-149,-
117,504150,ST2 B228 TRID/CATEGORY CHECKS,30-11
117,504151,ST2 B228 TRID ANNUITIES,-  - -
117,504152,ST2 B228 TRID/CATG CHARG CARD,-  -  - - -
117,504160,ST2 POSITIONS CATEGORY HEADING,-
117,504170,ST2 BONDS & OPTIONS RECAP(S),0-00
